# values, errors, pulls
3.090797337437438674e-01,1.400722524919462836e-02,6.771012867892102216e-01
2.907483610968332188e-01,1.194734065253857253e-02,-7.405047419029459066e-01
3.062365163388548472e-01,1.425097114589351024e-02,4.660098436590157656e-01
3.006276495027517814e-01,1.180744700822735846e-02,8.742160764004822116e-02
3.294417082080402515e-01,1.276841427187178774e-02,2.337509111888884661e+00
2.967753877727278278e-01,1.222346504853910436e-02,-2.307067365302507833e-01
2.751895722844098779e-01,1.415239819773778454e-02,-1.724502863596587332e+00
2.995608941243271817e-01,1.081594794929829906e-02,-3.192450537165034564e-03
2.867538561370859829e-01,1.225389617200718130e-02,-1.047957905455179306e+00
3.178706931481253273e-01,1.495163784354949787e-02,1.222292155293331684e+00
2.927275827640651307e-01,1.148153442221362674e-02,-5.981640159363494913e-01
3.157027841152784120e-01,1.177720897853511139e-02,1.367672140442397932e+00
3.080531731204994017e-01,1.040062428431044218e-02,8.131963415013677698e-01
2.913969312692584190e-01,1.076163169541226143e-02,-7.618261306419275014e-01
2.777065146303622778e-01,1.417200677580193226e-02,-1.544517245798945337e+00
2.881434246171503122e-01,1.316691721333798810e-02,-8.697555168355404209e-01
2.729289164141883717e-01,1.037219312644927470e-02,-2.570961296601721902e+00
3.086650441217863028e-01,1.185666133001025101e-02,7.649388277341133691e-01
3.364172590686744790e-01,1.333216401382084776e-02,2.761879881415731930e+00
2.844190200909965660e-01,1.241869201730763823e-02,-1.222061340358574499e+00
3.387497695727201275e-01,1.104259416667646015e-02,3.545756140138646373e+00
3.235009285849894112e-01,1.309362067977557637e-02,1.825736797060725669e+00
2.940386451315796235e-01,1.404362779479695345e-02,-3.956796956443821567e-01
3.400497116236635975e-01,1.361439877745986189e-02,2.971434051680068578e+00
2.881556442181224531e-01,9.860026665700422771e-03,-1.160217885093596912e+00
2.959058872907879834e-01,1.451418937701812011e-02,-2.542020168361537880e-01
2.689054250724110529e-01,1.278701859701386612e-02,-2.400090231973527111e+00
2.959557775081918529e-01,1.115270928373747646e-02,-3.263463524762750256e-01
3.062687661007633122e-01,1.680494138943120982e-02,3.971059727582491594e-01
2.965311598341256460e-01,1.467395891814413621e-02,-2.088232416443053241e-01
3.062212699730963439e-01,1.388864348826240359e-02,4.770693750997441751e-01
3.089414742349242404e-01,1.534724101557768082e-02,6.089726956310903550e-01
2.808871098798477184e-01,1.365113626261323272e-02,-1.370458345988176507e+00
3.104794122854541150e-01,1.451793346095492376e-02,7.496927032733725627e-01
2.821965140668429295e-01,1.141178292437287738e-02,-1.524644269140886799e+00
3.010686061832518745e-01,1.367630450488018998e-02,1.077178911568050235e-01
3.161115139787570305e-01,1.146431809382613201e-02,1.440651798076290069e+00
3.248708994488906932e-01,1.496966153727270071e-02,1.688446721576827514e+00
2.801491037866697398e-01,1.157416621449792668e-02,-1.680148647955258978e+00
2.992200698648780910e-01,9.588875842184157658e-03,-3.914469688287035981e-02
3.294790140161578118e-01,1.631259805983096417e-02,1.831933233650679727e+00
3.055399473982918224e-01,1.540082319478320617e-02,3.859874124869877576e-01
3.050491006046793796e-01,1.369407477217986918e-02,3.982508634019512050e-01
3.105386857117856669e-01,1.176390690660156571e-02,9.302404630962146648e-01
2.862177029411459572e-01,1.370287606686701291e-02,-9.762710030172925268e-01
3.008643810439092792e-01,1.497234702025204006e-02,8.475341501402429423e-02
2.880149893315240295e-01,1.484350160689820210e-02,-7.801686204730882146e-01
3.040814649622691768e-01,1.554181343496253975e-02,2.886433734309024057e-01
3.176642152159415144e-01,1.489650290590288639e-02,1.212955270569826771e+00
3.051073756183274033e-01,1.239861299990113394e-02,4.445619937652289799e-01
